"2006-10-27,五",3.4,3.44,3.26,3.28,--,--,"2,582,539,500","8,725,310,400",37.81,2856
"2006-10-30,一",3.27,3.32,3.25,3.29,0.30%,2.13%,"351,921,000","1,153,127,870",5.15,2871
"2006-10-31,二",3.28,3.33,3.28,3.3,0.30%,1.52%,"230,126,180","761,050,760",3.37,2805
"2006-11-01,三",3.3,3.31,3.28,3.3,0.00%,0.91%,"132,892,401","437,264,830",1.95,2788
"2006-11-02,四",3.3,3.3,3.25,3.28,-0.61%,1.52%,"175,155,420","573,399,410",2.56,2750
"2006-11-03,五",3.27,3.37,3.27,3.36,2.44%,3.05%,"400,016,130","1,331,710,300",5.86,2820
"2006-11-06,一",3.33,3.38,3.32,3.38,0.60%,1.79%,"209,993,800","706,248,010",3.07,2783
"2006-11-07,二",3.38,3.43,3.37,3.4,0.59%,1.78%,"296,792,450","1,010,942,170",4.34,2727
"2006-11-08,三",3.4,3.4,3.35,3.36,-1.18%,1.47%,"151,822,690","512,250,490",2.22,2623
"2006-11-09,四",3.36,3.4,3.35,3.4,1.19%,1.49%,"177,948,200","601,893,730",2.61,2546
"2006-11-10,五",3.4,3.52,3.4,3.46,1.76%,3.53%,"759,690,210","2,640,424,900",11.12,2834
"2006-11-13,一",3.45,3.59,3.44,3.52,1.73%,4.34%,"463,375,150","1,636,941,400",6.78,2829
"2006-11-14,二",3.58,3.62,3.53,3.6,2.27%,2.56%,"431,911,750","1,548,647,100",6.32,2729
"2006-11-15,三",3.61,3.65,3.6,3.65,1.39%,1.39%,"344,605,660","1,249,336,110",5.04,2821
"2006-11-16,四",3.7,3.93,3.67,3.8,4.11%,7.12%,"687,712,580","2,604,463,500",10.07,2839
"2006-11-17,五",3.79,3.85,3.74,3.8,0.00%,2.89%,"314,841,690","1,197,434,890",4.61,2809
"2006-11-20,一",3.8,3.92,3.8,3.92,3.16%,3.16%,"318,049,410","1,233,700,060",4.66,2862
"2006-11-21,二",3.91,3.96,3.86,3.93,0.26%,2.55%,"233,060,110","912,571,810",3.41,2845
"2006-11-22,三",3.91,3.95,3.81,3.9,-0.76%,3.56%,"283,457,070","1,097,899,210",4.15,2834
"2006-11-23,四",3.92,4.01,3.92,3.97,1.79%,2.31%,"302,943,550","1,202,109,370",4.43,2801
"2006-11-24,五",3.92,3.94,3.86,3.92,-1.26%,2.02%,"189,227,330","737,365,900",2.77,2794
"2006-11-27,一",3.89,3.9,3.76,3.81,-2.81%,3.57%,"300,467,630","1,145,692,120",4.4,2716
"2006-11-28,二",3.78,3.81,3.71,3.75,-1.57%,2.62%,"242,436,320","908,464,790",3.55,2731
"2006-11-29,三",3.67,3.8,3.65,3.79,1.07%,4.00%,"244,311,140","912,399,750",3.58,2620
"2006-11-30,四",3.8,3.83,3.77,3.81,0.53%,1.58%,"231,829,090","878,972,590",3.39,2759
"2006-12-01,五",3.83,3.83,3.74,3.76,-1.31%,2.36%,"274,203,440","1,031,906,080",4.01,2793
"2006-12-04,一",3.76,3.97,3.72,3.91,3.99%,6.65%,"410,693,920","1,587,058,200",6.01,2756
"2006-12-05,二",3.91,3.98,3.86,3.88,-0.77%,3.07%,"266,225,580","1,044,606,230",3.9,2775
"2006-12-06,三",3.88,3.91,3.76,3.84,-1.03%,3.87%,"263,484,720","1,008,236,040",3.86,2775
"2006-12-07,四",3.84,3.95,3.81,3.85,0.26%,3.65%,"336,873,990","1,315,713,900",4.93,2823
"2006-12-08,五",3.83,3.97,3.81,3.87,0.52%,4.16%,"386,868,800","1,511,314,600",5.66,2825
"2006-12-11,一",3.86,4.09,3.85,4.08,5.43%,6.20%,"458,576,440","1,823,478,500",6.71,2484
"2006-12-12,二",4.1,4.33,4.08,4.31,5.64%,6.13%,"543,092,050","2,294,872,500",7.95,2536
"2006-12-13,三",4.33,4.39,4.21,4.29,-0.46%,4.18%,"299,058,090","1,284,249,180",4.38,2538
"2006-12-14,四",4.29,4.3,4.2,4.27,-0.47%,2.33%,"184,842,580","785,511,150",2.71,2595
"2006-12-15,五",4.29,4.34,4.26,4.32,1.17%,1.87%,"173,307,480","746,397,040",2.54,2589
"2006-12-18,一",4.32,4.57,4.29,4.56,5.56%,6.48%,"280,665,330","1,244,248,740",4.11,2510
"2006-12-19,二",4.58,4.82,4.57,4.73,3.73%,5.48%,"334,221,440","1,572,281,100",4.89,2867
"2006-12-20,三",4.69,4.75,4.61,4.69,-0.85%,2.96%,"207,182,730","970,275,180",3.03,2735
"2006-12-21,四",4.69,4.78,4.63,4.65,-0.85%,3.20%,"195,124,140","918,152,010",2.86,2824
"2006-12-22,五",4.63,4.78,4.6,4.74,1.94%,3.87%,"193,603,430","909,864,980",2.83,2785
"2006-12-25,一",4.8,5.21,4.8,5.21,9.92%,8.65%,"441,375,150","2,256,254,700",6.46,2769
"2006-12-26,二",5.21,5.69,5.17,5.51,5.76%,9.98%,"579,603,060","3,128,020,200",8.49,2863
"2006-12-27,三",5.47,5.7,5.27,5.68,3.09%,7.80%,"402,659,570","2,212,671,700",5.89,2680
"2006-12-28,四",5.67,6.04,5.6,5.85,2.99%,7.75%,"516,210,380","3,014,590,500",7.56,2878
"2006-12-29,五",5.9,6.36,5.82,6.2,5.98%,9.23%,"674,291,700","4,066,299,600",9.87,2876
"2007-01-04,四",6.3,6.79,5.88,6.05,-2.42%,14.68%,"967,834,950","6,194,157,100",14.17,2868
"2007-01-05,五",5.87,5.87,5.45,5.45,-9.92%,6.94%,"808,749,590","4,495,265,600",11.84,2870
"2007-01-08,一",5.36,5.55,5.28,5.54,1.65%,4.95%,"644,985,060","3,498,360,800",9.44,2877
"2007-01-09,二",5.54,5.79,5.42,5.78,4.33%,6.68%,"644,456,370","3,586,835,300",9.43,2822
"2007-01-10,三",5.99,5.99,5.6,5.69,-1.56%,6.75%,"782,410,090","4,509,619,100",11.45,2863
"2007-01-11,四",5.66,5.66,5.43,5.51,-3.16%,4.04%,"554,847,840","3,064,577,900",8.12,2681
"2007-01-12,五",5.44,5.53,5.28,5.33,-3.27%,4.54%,"424,071,760","2,291,842,000",6.21,2684
"2007-01-15,一",5.32,5.58,5.29,5.57,4.50%,5.44%,"400,715,160","2,178,581,100",5.87,2863
"2007-01-16,二",5.61,5.67,5.37,5.52,-0.90%,5.39%,"429,182,670","2,361,786,700",6.28,2864
"2007-01-17,三",5.53,5.65,5.41,5.44,-1.45%,4.35%,"427,397,760","2,349,392,900",6.26,2879
"2007-01-18,四",5.4,5.46,5.11,5.25,-3.49%,6.43%,"477,883,230","2,506,958,300",7,2864
"2007-01-19,五",5.25,5.33,5.2,5.31,1.14%,2.48%,"309,055,610","1,628,590,300",4.52,2869
"2007-01-22,一",5.34,5.5,5.34,5.48,3.20%,3.01%,"379,154,990","2,061,637,200",5.55,2874
"2007-01-23,二",5.54,5.65,5.36,5.63,2.74%,5.29%,"501,221,800","2,765,682,100",7.34,2804
"2007-01-24,三",5.65,5.67,5.51,5.53,-1.78%,2.84%,"354,176,540","1,973,832,500",5.19,2812
"2007-01-25,四",5.45,5.45,5.25,5.28,-4.52%,3.62%,"334,956,120","1,787,675,200",4.9,2837
"2007-01-26,五",5.15,5.37,4.9,5.26,-0.38%,8.90%,"418,654,650","2,148,738,200",6.13,2862
"2007-01-29,一",5.18,5.38,5.11,5.32,1.14%,5.13%,"670,128,650","3,530,236,200",7.3,2501
"2007-01-30,二",5.35,5.39,5.15,5.17,-2.82%,4.51%,"423,492,130","2,222,308,700",4.61,2514
"2007-01-31,三",5.17,5.28,4.99,5.01,-3.09%,5.61%,"507,815,110","2,609,019,200",5.53,2571
"2007-02-01,四",4.98,5.07,4.92,5,-0.20%,2.99%,"249,356,080","1,243,631,520",2.72,2570
"2007-02-02,五",5.03,5.06,4.8,4.82,-3.60%,5.20%,"360,404,400","1,762,491,100",3.93,2647
"2007-02-05,一",4.8,4.85,4.68,4.69,-2.70%,3.53%,"240,420,240","1,140,243,100",2.62,2741
"2007-02-06,二",4.71,4.9,4.56,4.89,4.26%,7.25%,"493,833,980","2,331,107,700",5.38,2788
"2007-02-07,三",4.91,4.96,4.84,4.89,0.00%,2.45%,"469,095,590","2,298,275,500",5.11,2709
"2007-02-08,四",4.9,4.91,4.79,4.84,-1.02%,2.45%,"231,885,900","1,119,563,160",2.53,2834
"2007-02-09,五",4.83,4.84,4.74,4.79,-1.03%,2.07%,"192,423,910","919,395,220",2.1,2838
"2007-02-12,一",4.79,4.93,4.78,4.93,2.92%,3.13%,"210,599,750","1,026,997,620",2.29,2875
"2007-02-13,二",4.94,4.98,4.88,4.91,-0.41%,2.03%,"239,474,100","1,180,270,540",2.61,2873
"2007-02-14,三",4.9,5.08,4.86,5.04,2.65%,4.48%,"299,094,780","1,490,040,900",3.26,2863
"2007-02-15,四",5.07,5.19,5.07,5.17,2.58%,2.38%,"337,329,180","1,730,560,200",3.67,2867
"2007-02-16,五",5.21,5.23,5.11,5.14,-0.58%,2.32%,"285,213,510","1,473,264,400",3.11,2876
